Description,Category
<PLAYER>'s favorite memory with this group,Friend Mode Prompts
<PLAYER> holding hands with their biggest fear,Friend Mode Prompts
<PLAYER> reincarnated in the next life,Friend Mode Prompts
<PLAYER>'s number one pet peeve,Friend Mode Prompts
<PLAYER>'s evil plan,Friend Mode Prompts
<PLAYER> after they retire,Friend Mode Prompts
<PLAYER>'s best day,Friend Mode Prompts
"<PLAYER>'s last moment, probably",Friend Mode Prompts
<PLAYER>'s dirty little secret,Friend Mode Prompts
<PLAYER> hits puberty,Friend Mode Prompts
<PLAYER> being a villain,Friend Mode Prompts
<PLAYER> trips in front of their hero,Friend Mode Prompts
<PLAYER>'s true form,Friend Mode Prompts
<PLAYER> achieves their dream,Friend Mode Prompts
<PLAYER> on the cover of a bestseller,Friend Mode Prompts
<PLAYER>'s royal palace,Friend Mode Prompts
<PLAYER>'s favorite midnight snack,Friend Mode Prompts
<PLAYER> as a fairytale villain,Friend Mode Prompts
<PLAYER>'s favorite store at the mall,Friend Mode Prompts
<PLAYER>'s recipe for relaxation,Friend Mode Prompts
<PLAYER> as a terrifying children's TV show character,Friend Mode Prompts
<PLAYER>'s dream job,Friend Mode Prompts
<PLAYER>'s first childhood memory,Friend Mode Prompts
<PLAYER> five minutes ago,Friend Mode Prompts
<PLAYER> trying to flirt,Friend Mode Prompts
<PLAYER>'s best life decision,Friend Mode Prompts
<PLAYER>'s perfect tuesday night,Friend Mode Prompts
<PLAYER>'s guilty pleasure,Friend Mode Prompts
<PLAYER>'s favorite dance move,Friend Mode Prompts
<PLAYER>'s big night out,Friend Mode Prompts
<PLAYER>'s favorite party theme,Friend Mode Prompts
<PLAYER>'s dream concert,Friend Mode Prompts
<PLAYER>'s favorite dessert exploding,Friend Mode Prompts
<PLAYER> sneaking a midnight snack,Friend Mode Prompts
<PLAYER>'s features are changing places,Friend Mode Prompts
<PLAYER>'s reason for going viral one day,Friend Mode Prompts
<PLAYER>'s unfinished business,Friend Mode Prompts
<PLAYER>'s midlife crisis,Friend Mode Prompts
<PLAYER> in the last scene of their biopic,Friend Mode Prompts
<PLAYER> if they were a tiktok star,Friend Mode Prompts
<PLAYER>'s great-great-great grandchild,Friend Mode Prompts
<PLAYER> if they were born in the 1800s,Friend Mode Prompts
<PLAYER> in a parallel universe,Friend Mode Prompts
<PLAYER>'s recurring dream,Friend Mode Prompts
<PLAYER>'s last daydream,Friend Mode Prompts
<PLAYER>'s least favorite activity,Friend Mode Prompts
<PLAYER>'s fever dream,Friend Mode Prompts
<PLAYER>'s nightmare,Friend Mode Prompts
<PLAYER>'s idea of working out,Friend Mode Prompts
<PLAYER>'s upcoming scandal,Friend Mode Prompts
<PLAYER> in an olympic event they'd dominate,Friend Mode Prompts
<PLAYER>'s imagination land,Friend Mode Prompts
<PLAYER>'s idea of a *fun night*,Friend Mode Prompts
<PLAYER> going ham,Friend Mode Prompts
<PLAYER>'s vision of paradise,Friend Mode Prompts
<PLAYER>'s job in 10 years,Friend Mode Prompts
<PLAYER>'s stunning makeover,Friend Mode Prompts
<PLAYER> in beast mode,Friend Mode Prompts
<PLAYER>'s special move,Friend Mode Prompts
<PLAYER> on opposite day,Friend Mode Prompts
<PLAYER>'s favorite activity,Friend Mode Prompts
<PLAYER>'s favorite tv show,Friend Mode Prompts
<PLAYER> when watching reality tv,Friend Mode Prompts
<PLAYER> after they cancel plans,Friend Mode Prompts
<PLAYER>'s mind when meditating,Friend Mode Prompts
<PLAYER>'s poorly made clone,Friend Mode Prompts
<PLAYER> when they skip school,Friend Mode Prompts
<PLAYER>'s reaction to being the center of attention,Friend Mode Prompts
<PLAYER> morphing into a pokemon character,Friend Mode Prompts
<PLAYER>'s idea of a kind gesture,Friend Mode Prompts
<PLAYER> literally right now,Friend Mode Prompts
<PLAYER>'s secret nemesis,Friend Mode Prompts
<PLAYER>'s imaginary friend,Friend Mode Prompts
<PLAYER>'s most embarrassing moment,Friend Mode Prompts
<PLAYER>'s first act as president,Friend Mode Prompts
<PLAYER>'s idea of a good prank,Friend Mode Prompts
<PLAYER>'s archnemesis,Friend Mode Prompts
<PLAYER>'s first act after winning the lottery,Friend Mode Prompts
<PLAYER>'s idea of the worst job,Friend Mode Prompts
<PLAYER> creating a distraction,Friend Mode Prompts
<PLAYER>'s day summed up,Friend Mode Prompts
<PLAYER> going undercover at a high school,Friend Mode Prompts
<PLAYER> is always thinking about this,Friend Mode Prompts
<PLAYER>'s secret plan for later,Friend Mode Prompts
<PLAYER>'s current obsession,Friend Mode Prompts
<PLAYER> if they were a street performer,Friend Mode Prompts
<PLAYER> would lead this group,Friend Mode Prompts
<PLAYER> in high school,Friend Mode Prompts
<PLAYER>'s most cherished memory,Friend Mode Prompts
<PLAYER> in the school play,Friend Mode Prompts
<PLAYER> having fun,Friend Mode Prompts
<PLAYER>'s pov while surfing the web,Friend Mode Prompts
<PLAYER>'s skin care routine,Friend Mode Prompts
<PLAYER> dancing,Friend Mode Prompts
<PLAYER> growing tulip hair,Friend Mode Prompts
<PLAYER> at the clone store,Friend Mode Prompts
<PLAYER> is a dumpling now,Friend Mode Prompts
<PLAYER>'s descent into madness,Friend Mode Prompts
<PLAYER>'s greatest mistake :),Friend Mode Prompts
"<PLAYER> and the beast, tra la la la la",Friend Mode Prompts
<PLAYER> thinks about this b4 falling asleep,Friend Mode Prompts
<PLAYER> does this when ain't nobody watchin,Friend Mode Prompts
<PLAYER> loves these two things exactly equally,Friend Mode Prompts
<PLAYER> as an extra in their fave movie,Friend Mode Prompts
<PLAYER> is on the News!,Friend Mode Prompts
<PLAYER> wore this (??!) to be fancy !??>?!,Friend Mode Prompts
<PLAYER> wouldn't be caught dead here,Friend Mode Prompts
<PLAYER>'s general vibes,Friend Mode Prompts
<PLAYER> unsupervised,Friend Mode Prompts
<PLAYER>'s ultimate middle school fantasy,Friend Mode Prompts
<PLAYER> wasting genie wishes on frivolous junk,Friend Mode Prompts
<PLAYER> “with child” but the child is many meatballs,Friend Mode Prompts
<PLAYER> trying to express normal healthy human love,Friend Mode Prompts
<PLAYER> would immediately pee if they saw this,Friend Mode Prompts
<PLAYER> being a horrible role model,Friend Mode Prompts
<PLAYER> being.... patriotic ???,Friend Mode Prompts
<PLAYER> is a crappy off-brand cereal mascot,Friend Mode Prompts
<PLAYER> when thrown in the middle of the dance circle,Friend Mode Prompts
"<PLAYER>'s secret ""basement collection""",Friend Mode Prompts
"<PLAYER> ! dont go in there, its full of nightmare",Friend Mode Prompts
<PLAYER> university: there's lots to learn here,Friend Mode Prompts
<PLAYER> is in troouuuble for this one. moooom!!!,Friend Mode Prompts
<PLAYER> will regret this moment forever,Friend Mode Prompts
"<PLAYER> would be ""athletic"" if this was a sport",Friend Mode Prompts
"<PLAYER> daaaaaang, you look good. dang.",Friend Mode Prompts
<PLAYER> eating the spiciest thing they can handle,Friend Mode Prompts
<PLAYER> having a bad time!,Friend Mode Prompts
<PLAYER>'s secret ambition,Friend Mode Prompts
<PLAYER>'s last big project,Friend Mode Prompts
<PLAYER> does this in the darkness,Friend Mode Prompts
<PLAYER>'s vacation self,Friend Mode Prompts
<PLAYER> ...don't do that!,Friend Mode Prompts
<PLAYER>'s third favorite thing,Friend Mode Prompts
<PLAYER> has seized control of the universe,Friend Mode Prompts
<PLAYER>'s drawer of beloved keepsakes,Friend Mode Prompts
<PLAYER> won't stop breakdancing,Friend Mode Prompts
<PLAYER> has gone rogue ... omg,Friend Mode Prompts
<PLAYER> wrestling with their conscience,Friend Mode Prompts
<PLAYER> drank from the wrong grail! AHHG!!,Friend Mode Prompts
<PLAYER> snackin' on a snacky snack,Friend Mode Prompts
<PLAYER>'s own little world :),Friend Mode Prompts
<PLAYER> isn't allowed in there! nooooo stop,Friend Mode Prompts
<PLAYER> manually changing the leaves for the season,Friend Mode Prompts
<PLAYER> cannot handle this,Friend Mode Prompts
<PLAYER>'s morning routine,Friend Mode Prompts
<PLAYER>'s social media presence,Friend Mode Prompts
<PLAYER> deadlifts pizza people,Friend Mode Prompts
<PLAYER> dressed for the wronggg weather,Friend Mode Prompts
<PLAYER> is a sparkly vampire now,Friend Mode Prompts
"<PLAYER> and their best pal, horsemonster",Friend Mode Prompts
<PLAYER>'s boundless rage,Friend Mode Prompts
<PLAYER>'s wallet contents,Friend Mode Prompts
<PLAYER>'s favorite sauce. is all over.,Friend Mode Prompts
<PLAYER> is on sicko mode,Friend Mode Prompts
<PLAYER> literally eating their feelings,Friend Mode Prompts
<PLAYER> is actually who wiped out the dinosaurs,Friend Mode Prompts
<PLAYER> is the iceberg that did you know what,Friend Mode Prompts
<PLAYER> as a sesame street muppety thing,Friend Mode Prompts
<PLAYER> dipping a toe in a blackhole,Friend Mode Prompts
<PLAYER>'s pov lookin into a crystal ball,Friend Mode Prompts
<PLAYER> crafting their masterpiece,Friend Mode Prompts
<PLAYER>'s mom enjoying Sunday,Friend Mode Prompts
<PLAYER> really going for it with earrings,Friend Mode Prompts
<PLAYER> falling asleep on the trapeze,Friend Mode Prompts
<PLAYER> doing secret stuff in the attic,Friend Mode Prompts
<PLAYER>'s brain + the wacky nonsense in there,Friend Mode Prompts
<PLAYER>'s greatest achievement so far,Friend Mode Prompts
<PLAYER>'s wild alien encounter,Friend Mode Prompts
<PLAYER> in the gift shop at the zoo??,Friend Mode Prompts
<PLAYER> singing with the chickens,Friend Mode Prompts
<PLAYER> sees themself like this,Friend Mode Prompts
<PLAYER> if they were a parade float,Friend Mode Prompts
<PLAYER>'s special skill,Friend Mode Prompts
<PLAYER> if they were in a reality show,Friend Mode Prompts
<PLAYER>'s one chance at greatness,Friend Mode Prompts
<PLAYER>'s first sight upon waking,Friend Mode Prompts
<PLAYER> had this in their HS locker,Friend Mode Prompts
<PLAYER> would hate this vacation,Friend Mode Prompts
<PLAYER> is way too proud of this,Friend Mode Prompts
<PLAYER> getting their wish granted,Friend Mode Prompts
<PLAYER> gets nervous about this,Friend Mode Prompts
<PLAYER>'s idea of a bad wedding,Friend Mode Prompts
<PLAYER> when the caffeine finally hits,Friend Mode Prompts
<PLAYER> being a silly goose,Friend Mode Prompts
<PLAYER> if time travel was possible,Friend Mode Prompts
<PLAYER> painted by a le fancy artiste,Friend Mode Prompts
<PLAYER> has trouble with this,Friend Mode Prompts
<PLAYER> when the lights come on at the gym,Friend Mode Prompts
<PLAYER> is in charge of the clams now,Friend Mode Prompts
<PLAYER> would totally own this toy,Friend Mode Prompts
<PLAYER>'s junk underneth their bed,Friend Mode Prompts
<PLAYER> if they were reassembled haphazardly,Friend Mode Prompts
<PLAYER>'s idea of fine dining,Friend Mode Prompts
<PLAYER>'s nightmare fuel,Friend Mode Prompts
<PLAYER> thinks this is the worst thing ever invented,Friend Mode Prompts
<PLAYER> is literally magnetic,Friend Mode Prompts
<PLAYER>'s hands making a peculiar sandwich,Friend Mode Prompts
<PLAYER> (dun dun dun) was t he murderer all along!!!!,Friend Mode Prompts
<PLAYER>'s teenage rebellion,Friend Mode Prompts
<PLAYER>'s deal with a sketchy salesman,Friend Mode Prompts
<PLAYER>'s cursed family heirloom,Friend Mode Prompts
<PLAYER>'s idea of a cool robot butler,Friend Mode Prompts
<PLAYER>'s idea of the end of the world,Friend Mode Prompts
<PLAYER>'s targeted ads,Friend Mode Prompts
<PLAYER> when the stinkman gets them!!!!,Friend Mode Prompts
<PLAYER>'s idea of a hundred dollar shirt,Friend Mode Prompts
<PLAYER>'s reason to get out of bed,Friend Mode Prompts
<PLAYER>'s pathetic snack,Friend Mode Prompts
<PLAYER>'s idea of an expensive outing,Friend Mode Prompts
<PLAYER> being a scawed wittle bay-bay,Friend Mode Prompts
<PLAYER>'s most recent google,Friend Mode Prompts
<PLAYER> being impulsive!!,Friend Mode Prompts
<PLAYER> when they have 20 free minutes,Friend Mode Prompts
<PLAYER>'s idea to make goats better,Friend Mode Prompts
<PLAYER> when it's hot hot hot out,Friend Mode Prompts
<PLAYER> when there's no more coffee,Friend Mode Prompts
<PLAYER>'s idea of the best water slide,Friend Mode Prompts
<PLAYER>'s idea of true bliss,Friend Mode Prompts
<PLAYER>'s idea to solve climate change,Friend Mode Prompts
<PLAYER>'s idea of sick transportation,Friend Mode Prompts
<PLAYER>'s idea for fixing the government,Friend Mode Prompts
<PLAYER> wehn they turn 100,Friend Mode Prompts
<PLAYER> after getting nothing from parents,Friend Mode Prompts
<PLAYER> as a teenager in the 80s,Friend Mode Prompts
<PLAYER> being born,Friend Mode Prompts
<PLAYER>'s idea of total boredom,Friend Mode Prompts
